For M5|Adr 00189|PI1                         180|SD         37.105 m   |Hz        44.4636 DMS |V2         1.4345 DMS | 
For M5|Adr 00190|PI1                         181|SD         35.532 m   |Hz        39.2216 DMS |V2         1.1935 DMS | 
For M5|Adr 00191|PI1                         182|SD         35.536 m   |Hz        39.2213 DMS |V2         1.1953 DMS | 
For M5|Adr 00192|PI1                         183|SD         35.530 m   |Hz        39.2215 DMS |V2         1.1953 DMS | 
For M5|Adr 00193|PI1                         184|SD         27.801 m   |Hz        39.3917 DMS |V2         1.4133 DMS | 
For M5|Adr 00194|PI1                         185|SD         10.194 m   |Hz        11.2530 DMS |V2         1.3411 DMS | 
For M5|Adr 00195|PI1                         186|SD          8.833 m   |Hz        27.0519 DMS |V2         1.1220 DMS | 
For M5|Adr 00196|PI1                         187|SD          8.214 m   |Hz        46.1653 DMS |V2         1.2458 DMS | 
For M5|Adr 00197|PI1                         188|SD          7.138 m   |Hz       269.0708 DMS |V2       359.2250 DMS | 
For M5|Adr 00198|PI1                         189|SD          4.916 m   |Hz       252.4623 DMS |V2       357.4147 DMS | 
For M5|Adr 00199|PI1                         190|SD          5.863 m   |Hz       217.2429 DMS |V2       358.0931 DMS | 
For M5|Adr 00200|PI1                         191|SD         24.507 m   |Hz       236.2158 DMS |V2       357.2317 DMS | 
For M5|Adr 00201|PI1                         192|SD         23.937 m   |Hz       230.2403 DMS |V2       357.4025 DMS | 
For M5|Adr 00202|PI1                         193|SD         23.527 m   |Hz       225.0048 DMS |V2       357.4140 DMS | 
For M5|Adr 00203|PI1                         194|SD         43.216 m   |Hz       231.3954 DMS |V2       357.5344 DMS | 
For M5|Adr 00204|PI1                         195|SD         44.326 m   |Hz       224.0335 DMS |V2       358.0756 DMS | 
For M5|Adr 00205|PI1                         196|SD         43.671 m   |Hz       226.4955 DMS |V2       357.4341 DMS | 
For M5|Adr 00206|PI1                         197|SD         43.453 m   |Hz       229.4825 DMS |V2       357.3531 DMS | 
For M5|Adr 00207|PI1                         198|SD         43.565 m   |Hz       232.2602 DMS |V2       357.3200 DMS | 
For M5|Adr 00208|PI1                         199|SD         53.814 m   |Hz       228.4525 DMS |V2       357.4318 DMS | 
For M5|Adr 00209|PI1                         200|SD         52.502 m   |Hz       233.4649 DMS |V2       357.4014 DMS | 
For M5|Adr 00210|PI1                         201|SD         53.004 m   |Hz       230.4719 DMS |V2       357.3516 DMS | 
For M5|Adr 00211|PI1                         202|SD         38.861 m   |Hz       222.2216 DMS |V2       357.5924 DMS | 
For M5|Adr 00212|PI1                         203|SD         35.325 m   |Hz       223.4810 DMS |V2       358.1537 DMS | 
For M5|Adr 00213|PI1                         204|SD         35.332 m   |Hz       223.5836 DMS |V2       358.0551 DMS | 
For M5|Adr 00214|PI1                         205|SD         30.353 m   |Hz       222.2510 DMS |V2       358.2250 DMS | 
For M5|Adr 00215|PI1                         206|SD         30.356 m   |Hz       222.3902 DMS |V2       358.0618 DMS | 
For M5|Adr 00216|PI1                         207|SD         11.654 m   |Hz       134.5112 DMS |V2         9.3925 DMS | 
For M5|Adr 00217|PI1                         208|SD         25.481 m   |Hz       117.4842 DMS |V2         2.4236 DMS | 

